kapitola;financni_misto;akce;rozpoctova_polozka;castka
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;264010.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;29336.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Nájemné;85000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Nákup ostatních služeb;6863000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Cestovné (tuzemské i zahraniční);85000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Pohoštění;102000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Neinvestiční transfery obecně prospěšným společnostem;1.615E7
Ministerstvo financí;Ministerstvo financí;IS VIOLA;Nákup ostatních služeb;20000.0
Ministerstvo financí;Ministerstvo financí;IS VIOLA;Programové vybavení;500000.0
Ministerstvo financí;Ministerstvo financí;IS Auditního orgánu (FKVS);Programové vybavení;45000.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Drobný hmotný dlouhodobý majetek;1400000.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Nákup materiálu jinde nezařazený;120000.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Konzultační, poradenské a právní služby;1840000.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Nákup ostatních služeb;769200.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Programové vybavení;2800000.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Ostatní nákup dlouhodobého nehmotného majetku;3600000.0
Ministerstvo financí;Ministerstvo financí;Protikorupční opatření EHP - Norsko;Výpočetní technika;3200000.0
Ministerstvo financí;Ministerstvo financí;CEDR MF;Programové vybavení;1500000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;9258907.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;2314727.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;833302.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Nájemné;390000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Nákup ostatních služeb;2.5708925E7
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Cestovné (tuzemské i zahraniční);2420000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Pohoštění;50000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Účastnické poplatky na konference;480000.0
Ministerstvo financí;Ministerstvo financí;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;92589.0
Ministerstvo financí;Generální finanční ředitelství;Zhodnocení ADIS;Programové vybavení;5.1E7
Ministerstvo financí;Generální finanční ředitelství;Vývoj IS AVIS a IS VEMA;Programové vybavení;5.0E7
Ministerstvo financí;Generální finanční ředitelství;Vývoj vnitřních informačních systémů;Programové vybavení;3.0E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na daňové informační systémy;Nákup ostatních služeb;7.7E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Knihy, učební pomůcky a tisk;50000.0
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Drobný hmotný dlouhodobý majetek;1.08E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Nákup materiálu jinde nezařazený;3.38E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Služby telekomunikací a radiokomunikací;2200000.0
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Konzultační, poradenské a právní služby;237000.0
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Služby školení a vzdělávání;785000.0
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Nákup ostatních služeb;1.6442E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Opravy a udržování;9.0686E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na ICT na GFŘ a FÚ;Programové vybavení;1000000.0
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na vnitřní informační systémy - rozpočet;Služby telekomunikací a radiokomunikací;2977000.0
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na vnitřní informační systémy - rozpočet;Nákup ostatních služeb;9.8515979E7
Ministerstvo financí;Generální finanční ředitelství;Běžné výdaje na vnitřní informační systémy - rozpočet;Programové vybavení;2350021.0
Ministerstvo financí;Generální finanční ředitelství;Agregace - budovy a stavby Finanční správy - rozpočet;Budovy, haly a stavby;5000000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;4.637834585E9
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Ostatní osobní výdaje;1.3993E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;1.162956896E9
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;4.18664483E8
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Potraviny;5574000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Ochranné pomůcky;272000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Léky a zdravotnický materiál;106000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Prádlo, oděv a obuv;107000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Knihy, učební pomůcky a tisk;3355000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;7997000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Nákup materiálu jinde nezařazený;1.3518E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Studená voda;2.7182E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Teplo;7.5613E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Plyn;4.3685E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Elektrická energie;1.13474E8
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Pohonné hmoty a maziva;1.0315E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Teplá voda;260000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Nákup ostatních paliv a energie;1282000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Služby pošt;7.7328E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Služby peněžních ústavů;4764000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Nájemné;1.42359E8
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Nájemné za půdu;36000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Konzultační, poradenské a právní služby;1128000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Služby školení a vzdělávání;9727000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Nákup ostatních služeb;2.12952E8
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Opravy a udržování;5.8885E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Cestovné (tuzemské i zahraniční);2.2392E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Pohoštění;873000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Ostatní nákupy jinde nezařazené;4361000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Ostatní poskytované zálohy a jistiny;200000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);4656000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Věcné dary;200000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Odvody za neplnění povinnosti zaměstnávat zdravotně postižen;5629000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;4.6378346E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Platby daní a poplatků státnímu rozpočtu;7022000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Náhrady mezd v době nemoci;3.0E7
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Neinvestiční transfery mezinárodním organizacím;720000.0
Ministerstvo financí;Generální finanční ředitelství;Nepřiřazeno;Ostatní neinvestiční výdaje jinde nezařazené;3232000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Sociální dávky;1.683E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Sociální dávky;14000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Sociální dávky;6808000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Sociální dávky;7.1177E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Sociální dávky;7.52816E8
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Sociální dávky;2500000.0
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Drobný hmotný dlouhodobý majetek;9500000.0
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Nákup materiálu jinde nezařazený;4500000.0
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Služby telekomunikací a radiokomunikací;4.4E7
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Nákup ostatních služeb;7.62E7
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Opravy a udržování;5000000.0
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Programové vybavení;6.0175735E7
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2110  ICT CS na r. 2014;Výpočetní technika;2.7E7
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2120  movitý majetek CS na r. 2014;Stroje, přístroje a zařízení;2.5E7
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2120  movitý majetek CS na r. 2014;Dopravní prostředky;2.1E7
Ministerstvo financí;Generální ředitelství cel;Laboratorní technika pro CTL;Stroje, přístroje a zařízení;9600000.0
Ministerstvo financí;Generální ředitelství cel;Speciální technika pro OPČ;Stroje, přístroje a zařízení;5500000.0
Ministerstvo financí;Generální ředitelství cel;Agregace podporgramu 012V2130  budovy a stavby CS na r. 2014;Budovy, haly a stavby;1.70785E7
Ministerstvo financí;Generální ředitelství cel;"Rozvoj systému ""Elektronické spisové služby CS""";Programové vybavení;605000.0
Ministerstvo financí;Generální ředitelství cel;Vývoj ME-SPD/Děs;Programové vybavení;1512500.0
Ministerstvo financí;Generální ředitelství cel;Vývoj Evidence cel a daní - ECDC;Programové vybavení;1614140.0
Ministerstvo financí;Generální ředitelství cel;Vývoj ETN - Evidence tabákových nálepek;Programové vybavení;529375.0
Ministerstvo financí;Generální ředitelství cel;Vývoj Datový sklad;Programové vybavení;1455025.0
Ministerstvo financí;Generální ředitelství cel;Vývoj systému pro rizikovou analýzu ERIAN;Programové vybavení;1532667.0
Ministerstvo financí;Generální ředitelství cel;Vývoj centrálních aplikací pro IC-CDS;Programové vybavení;1815000.0
Ministerstvo financí;Generální ředitelství cel;Vývoj klientské části pro NCTS, ECS a TIR (ET klient);Programové vybavení;1270500.0
Ministerstvo financí;Generální ředitelství cel;Vývoj aplikací pro podporu CŘ;Programové vybavení;3000000.0
Ministerstvo financí;Generální ředitelství cel;Vývoj IS COPIS;Programové vybavení;3000000.0
Ministerstvo financí;Generální ředitelství cel;Vývoj TIS - tarifní informační systém;Programové vybavení;1936000.0
Ministerstvo financí;Generální ředitelství cel;Vývoj EOS (registr evropských ekonomických subjektů);Programové vybavení;943800.0
Ministerstvo financí;Generální ředitelství cel;Vývoj EMCS - Přeprava zboží podléhajícího spotřební dani;Programové vybavení;1512500.0
Ministerstvo financí;Generální ředitelství cel;Vývoj RDS/SEED - Národní a evropský registr subjektů zabývaj;Programové vybavení;2193125.0
Ministerstvo financí;Generální ředitelství cel;Úprava SWnástrojů na správu IS a databází TARIC;Programové vybavení;800000.0
Ministerstvo financí;Generální ředitelství cel;Portál CS - vývoj aplikačního softwaru;Programové vybavení;1407633.0
Ministerstvo financí;Generální ředitelství cel;Vývoj podpůrných internetových a intranetových aplikací pro;Programové vybavení;847000.0
Ministerstvo financí;Generální ředitelství cel;Licence software Microsoft r. 2012 - 2014;Programové vybavení;3.65E7
Ministerstvo financí;Generální ředitelství cel;Budování LAN sítí;Výpočetní technika;5000000.0
Ministerstvo financí;Generální ředitelství cel;Agregace podprogramu 112V2130 budovy a stavby CS na r. 2013;Budovy, haly a stavby;2.005E7
Ministerstvo financí;Generální ředitelství cel;Olomouc Povel - rekonstrukce komunikace a areálových rozvodů;Budovy, haly a stavby;7001500.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;4.053E8
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Platy zaměstnanců ozbrojených sborů a složek ve služebním po;1.655461E9
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Ostatní osobní výdaje;5223000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Odstupné;979000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Ostatní platby za provedenou práci jinde nezařazené;1961000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;5.17231E8
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;1.8620316E8
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Potraviny;3560000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Ochranné pomůcky;971000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Léky a zdravotnický materiál;150000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Prádlo, oděv a obuv;1.9147E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Knihy, učební pomůcky a tisk;698000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;8450000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Nákup materiálu jinde nezařazený;1.3835E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Kursové rozdíly ve výdajích;600000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Studená voda;7853000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Teplo;2.0453E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Plyn;1.6397E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Elektrická energie;3.8613E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Pevná paliva;60000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Pohonné hmoty a maziva;1.9E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Teplá voda;195000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Nákup ostatních paliv a energie;320000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Služby pošt;9120000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Služby telekomunikací a radiokomunikací;350000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Služby peněžních ústavů;3850000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Nájemné;6.178E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Konzultační, poradenské a právní služby;2400000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Služby školení a vzdělávání;1850000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Nákup ostatních služeb;7.1447E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Opravy a udržování;2.59E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Cestovné (tuzemské i zahraniční);5.425E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Pohoštění;383000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Ostatní nákupy jinde nezařazené;7982000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Zaplacené sankce;4000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);5544000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Věcné dary;420000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Náhrady zvýšených nákladů spojených s výkonem funkce v zahra;3300000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Ostatní výdaje související s neinvestičními nákupy;1034000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;2.060761E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Nákup kolků;5.101E7
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Platby daní a poplatků státnímu rozpočtu;1390000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Platby daní a poplatků krajům, obcím a státním fondům;240000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Náhrady mezd v době nemoci;2231000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Neinvestiční transfery mezinárodním organizacím;949250.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Neinvestiční transfery nadnárodním orgánům;1000000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Vratky neoprávněně použitých nebo zadržených prostředků Evro;2450000.0
Ministerstvo financí;Generální ředitelství cel;Nepřiřazeno;Ostatní neinvestiční výdaje jinde nezařazené;359000.0
Ministerstvo financí;Úřad pro ZSVM;Obnova HW;Drobný hmotný dlouhodobý majetek;7000000.0
Ministerstvo financí;Úřad pro ZSVM;Obnova HW;Výpočetní technika;3000000.0
Ministerstvo financí;Úřad pro ZSVM;SW a licence;Drobný hmotný dlouhodobý majetek;1000000.0
Ministerstvo financí;Úřad pro ZSVM;SW a licence;Nákup ostatních služeb;2.6E7
Ministerstvo financí;Úřad pro ZSVM;SW a licence;Programové vybavení;1000000.0
Ministerstvo financí;Úřad pro ZSVM;Centrální aplikace - servis;Nákup ostatních služeb;9.2125E7
Ministerstvo financí;Úřad pro ZSVM;Úpravy centrálních aplikací a rozvoj;Programové vybavení;2091000.0
Ministerstvo financí;Úřad pro ZSVM;Podpora projektů a technologií;Nákup ostatních služeb;2.69E7
Ministerstvo financí;Úřad pro ZSVM;Podpora projektů a technologií;Opravy a udržování;100000.0
Ministerstvo financí;Úřad pro ZSVM;Bezpečnostní služby;Drobný hmotný dlouhodobý majetek;100000.0
Ministerstvo financí;Úřad pro ZSVM;Bezpečnostní služby;Nákup ostatních služeb;5000000.0
Ministerstvo financí;Úřad pro ZSVM;Bezpečnostní služby;Opravy a udržování;500000.0
Ministerstvo financí;Úřad pro ZSVM;Komunikační služby;Drobný hmotný dlouhodobý majetek;1000000.0
Ministerstvo financí;Úřad pro ZSVM;Komunikační služby;Nákup materiálu jinde nezařazený;2000000.0
Ministerstvo financí;Úřad pro ZSVM;Komunikační služby;Služby telekomunikací a radiokomunikací;1.55E7
Ministerstvo financí;Úřad pro ZSVM;Komunikační služby;Nákup ostatních služeb;4500000.0
Ministerstvo financí;Úřad pro ZSVM;Komunikační služby;Opravy a udržování;500000.0
Ministerstvo financí;Úřad pro ZSVM;Komunikační služby;Výpočetní technika;1500000.0
Ministerstvo financí;Úřad pro ZSVM;Opravy, servis, provoz a doplňky ICT;Drobný hmotný dlouhodobý majetek;400000.0
Ministerstvo financí;Úřad pro ZSVM;Opravy, servis, provoz a doplňky ICT;Nákup materiálu jinde nezařazený;8000000.0
Ministerstvo financí;Úřad pro ZSVM;Opravy, servis, provoz a doplňky ICT;Nákup ostatních služeb;100000.0
Ministerstvo financí;Úřad pro ZSVM;Opravy, servis, provoz a doplňky ICT;Opravy a udržování;1500000.0
Ministerstvo financí;Úřad pro ZSVM;Centrální registr administrativních budov (CRAB);Nákup ostatních služeb;6.5132E7
Ministerstvo financí;Úřad pro ZSVM;Serverová farma;Nákup ostatních služeb;1.48899E8
Ministerstvo financí;Úřad pro ZSVM;Drobné investiční akce - vybavení, stroje a zařízení;Stroje, přístroje a zařízení;200000.0
Ministerstvo financí;Úřad pro ZSVM;Drobné investiční akce sídel ÚZSVM;Budovy, haly a stavby;6000000.0
Ministerstvo financí;Úřad pro ZSVM;Obnova vozového parku ÚZSVM;Dopravní prostředky;1300000.0
Ministerstvo financí;Úřad pro ZSVM;Drobné investiční akce;Budovy, haly a stavby;500000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;5.48402E8
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Platy zaměstnanců v pracovním poměru odvozované od platů úst;6.7894893E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Ostatní osobní výdaje;5000000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Odstupné;1.2185E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;1.58369723E8
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;5.701412E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Ochranné pomůcky;363000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Léky a zdravotnický materiál;53000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Prádlo, oděv a obuv;35000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Knihy, učební pomůcky a tisk;1052000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;2865000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Nákup materiálu jinde nezařazený;7274000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Kursové rozdíly ve výdajích;5000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Studená voda;3680000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Teplo;1.2143E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Plyn;1.206E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Elektrická energie;1.7473E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Pohonné hmoty a maziva;5451000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Teplá voda;254000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Služby pošt;4202000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Služby telekomunikací a radiokomunikací;6971000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Služby peněžních ústavů;561000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Nájemné;4594000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Konzultační, poradenské a právní služby;9743000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Služby školení a vzdělávání;1150000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Nákup ostatních služeb;8.5562E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Opravy a udržování;1.4E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Cestovné (tuzemské i zahraniční);2186000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Pohoštění;814000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Účastnické poplatky na konference;60000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Ostatní nákupy jinde nezařazené;292000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);2.6359E7
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Ostatní výdaje související s neinvestičními nákupy;2612000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;6162969.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Nákup kolků;1000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Platby daní a poplatků státnímu rozpočtu;2790000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Platby daní a poplatků krajům, obcím a státním fondům;191000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Náhrady mezd v době nemoci;4000000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Neinvestiční transfery mezinárodním organizacím;70000.0
Ministerstvo financí;Úřad pro ZSVM;Nepřiřazeno;Ostatní neinvestiční výdaje jinde nezařazené;1900000.0
Ministerstvo financí;Kancelář finančního arbitra;Pořízení a provozování ICT KFA;Drobný hmotný dlouhodobý majetek;4000.0
Ministerstvo financí;Kancelář finančního arbitra;Pořízení a provozování ICT KFA;Nákup ostatních služeb;115000.0
Ministerstvo financí;Kancelář finančního arbitra;Pořízení a provozování ICT KFA;Opravy a udržování;20000.0
Ministerstvo financí;Kancelář finančního arbitra;Pořízení a provozování ICT KFA;Programové vybavení;1800000.0
Ministerstvo financí;Kancelář finančního arbitra;Telekomunikace KFA;Služby telekomunikací a radiokomunikací;120000.0
Ministerstvo financí;Kancelář finančního arbitra;Kancelářské vybavení KFA;Stroje, přístroje a zařízení;50000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;8254000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Ostatní osobní výdaje;540000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;2198500.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;791460.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Knihy, učební pomůcky a tisk;30000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;60000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Nákup materiálu jinde nezařazený;50000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Kursové rozdíly ve výdajích;20000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Studená voda;20000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Plyn;98540.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Elektrická energie;220000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Pohonné hmoty a maziva;90000.0
Ministerstvo financí;Kancelář finančního arbitra;Nepřiřazeno;Služby pošt;150000.0
