kapitola;financni_misto;akce;rozpoctova_polozka;castka
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;8.3805E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;3.0171E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Knihy, učební pomůcky a tisk;2500000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Drobný hmotný dlouhodobý majetek;8500000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Nákup materiálu jinde nezařazený;4.4271E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Studená voda;1100000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Plyn;5510000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Elektrická energie;1.751E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Pohonné hmoty a maziva;8000000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Služby pošt;600000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Služby telekomunikací a radiokomunikací;2.934E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Služby peněžních ústavů;5150000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Nájemné;7.28E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Konzultační, poradenské a právní služby;1700000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Služby školení a vzdělávání;1000000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Služby zpracování dat;500000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Nákup ostatních služeb;1.856E8
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Opravy a udržování;3.584E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Programové vybavení;200000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Cestovné (tuzemské i zahraniční);3.9136E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Pohoštění;4000000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Účastnické poplatky na konference;100000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Poskytnuté neinvestiční příspěvky a náhrady (část);1.1875E7
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Věcné dary;700000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Odvody za neplnění povinnosti zaměstnávat zdravotně postižen;50000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Náhrady a příspěvky související s výkonem ústavní funkce a f;1.3509E8
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Převody fondu kulturních a sociálních potřeb a sociálnímu fo;1567000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Platby daní a poplatků státnímu rozpočtu;1600000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Náhrady mezd v době nemoci;800000.0
Poslanecká sněmovna Parlamentu;Poslanecká sněmovna Parlamentu;Nepřiřazeno;Neinvestiční transfery mezinárodním organizacím;1500000.0
Senát Parlamentu;Senát Parlamentu;Digitální kamerový systém CCTV;Budovy, haly a stavby;500000.0
Senát Parlamentu;Senát Parlamentu;Servery;Výpočetní technika;3500000.0
Senát Parlamentu;Senát Parlamentu;Disková pole a clusterové sestavy;Výpočetní technika;1700000.0
Senát Parlamentu;Senát Parlamentu;Počítačové sitě;Výpočetní technika;2000000.0
Senát Parlamentu;Senát Parlamentu;Barevné laserové tiskárny;Výpočetní technika;140000.0
Senát Parlamentu;Senát Parlamentu;Programové vybavení;Programové vybavení;700000.0
Senát Parlamentu;Senát Parlamentu;Vybavení prostor Kanceláře Senátu;Stroje, přístroje a zařízení;100000.0
Senát Parlamentu;Senát Parlamentu;Technické a technologické vybavení areálu Senátu;Budovy, haly a stavby;1100000.0
Senát Parlamentu;Senát Parlamentu;Dopravní prostředky Senátu;Dopravní prostředky;4350000.0
Senát Parlamentu;Senát Parlamentu;Obnova a pořízení strojů a zařízení;Stroje, přístroje a zařízení;650000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Platy zaměstnanců v pracovním poměru;8.6699E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Ostatní osobní výdaje;1500000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Platy představitelů státní moci a některých orgánů;7.08E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Odchodné;9800000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Povinné pojistné na sociální zabezpečení a příspěvek na stát;3.974995E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Povinné pojistné na veřejné zdravotní pojištění;1.431005E7
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Ochranné pomůcky;20000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Léky a zdravotnický materiál;10000.0
Senát Parlamentu;Senát Parlamentu;Nepřiřazeno;Prádlo, oděv a obuv;50000.0
